theta_H,phi_H,theta_V,phi_V,R,G,B
0.049982,4.772762,0.932324,1.008598,10.363079,10.148582,9.612336
0.165135,5.032272,0.788802,1.567395,2.110865,2.067005,1.957354
0.136295,4.155995,1.013158,0.201879,2.014913,1.974838,1.874653
0.026022,3.727373,0.507822,4.111372,3.364848,3.294011,3.116917
0.079167,5.170608,0.960146,4.576410,3.815850,3.736141,3.536868
0.300683,4.753026,0.823484,4.193581,2.557385,2.503553,2.368972
0.088158,3.814467,1.043163,5.794264,1.938362,1.899325,1.801734
0.056850,3.500556,0.668270,3.877044,1.230332,1.204436,1.139696
0.823691,5.261383,0.696208,4.770503,0.002405,0.002354,0.002228
0.829351,2.738871,1.275047,3.380816,0.000483,0.000473,0.000448
0.006118,4.239780,0.741352,0.911187,6.696867,6.556080,6.204113
0.276300,1.526021,0.559706,2.687529,2.534148,2.480799,2.347427
0.604347,4.806774,0.370465,4.131339,0.438376,0.429147,0.406075
0.444102,4.094526,0.521447,4.401660,0.006757,0.006615,0.006259
0.160394,4.786081,0.830645,2.840975,6.961123,6.815754,6.452329
0.166046,4.733417,0.226229,1.459515,3.407236,3.335505,3.156177
0.998659,5.165464,1.157486,5.270303,0.003580,0.003505,0.003317
0.300843,1.718862,1.216708,1.629314,2.175877,2.130515,2.017110
0.212908,4.820543,0.506369,1.239216,3.166268,3.099663,2.933151
0.161631,4.679200,1.186625,0.647165,30.309166,29.803261,28.538502
0.103517,1.434783,0.793866,3.508793,6.671299,6.531504,6.182018
0.067599,4.921273,1.091917,5.460430,10.840049,10.618532,10.064741
0.349907,5.641081,0.759216,4.317568,0.007710,0.007548,0.007142
0.020971,5.592167,1.279950,4.313532,23.343004,22.942434,21.941010
0.246247,4.784308,0.482413,3.718579,2.331490,2.282406,2.159697
0.535325,5.057623,0.518986,4.269115,0.029519,0.028898,0.027344
0.110895,5.284485,1.246900,3.959025,4.227945,4.150437,3.956665
0.120551,4.616736,1.401668,4.630713,22.942556,22.553225,21.579895
1.054000,1.871739,1.403471,2.663281,0.034839,0.034108,0.032280
0.051817,4.840502,0.259083,4.430774,3.716766,3.638519,3.442899
0.469123,5.224404,0.900317,5.439452,0.013039,0.012764,0.012078
0.729313,1.713040,0.091220,5.732880,0.361765,0.354167,0.335172
0.410518,3.940502,0.742599,3.997210,0.004831,0.004729,0.004475
0.742811,4.754148,0.358758,3.985514,0.710838,0.695874,0.658464
0.190219,0.221585,0.202983,2.824936,0.021459,0.021007,0.019878
1.105367,2.414250,1.179130,2.646981,0.000543,0.000532,0.000503
0.289139,1.566289,0.432699,4.068324,3.302455,3.232972,3.059266
0.892278,4.343573,0.911982,4.086191,0.007320,0.007165,0.006780
0.036123,1.636601,0.840256,4.268029,8.247547,8.074969,7.643523
0.906310,4.697200,0.518961,5.127608,0.691233,0.676681,0.640301
0.215248,1.750162,0.650320,4.921730,2.693266,2.636887,2.495939
0.238645,5.906906,0.800256,5.432837,0.013970,0.013676,0.012941
0.295334,1.523090,1.263652,3.352776,36.490860,35.955204,34.616066
0.014923,3.006384,0.942427,1.569941,8.078268,7.910288,7.490337
0.095982,1.732222,0.820065,0.072578,6.454911,6.319554,5.981163
0.067241,5.075892,0.257040,0.311663,2.606329,2.551459,2.414284
0.089767,1.452488,0.598136,2.703719,4.569605,4.473413,4.232935
0.629602,0.748600,1.227354,1.443737,0.001950,0.001909,0.001807
0.060249,2.184160,0.603397,0.906055,2.416358,2.365495,2.238336
0.060289,4.704191,0.854350,3.593677,7.878204,7.712973,7.299896
0.513215,1.595559,0.845020,2.700365,1.626869,1.592659,1.507135
0.307990,1.422093,0.662501,4.523302,2.383812,2.334448,2.211038
0.026940,4.387563,0.351591,2.618314,4.026455,3.941687,3.729769
0.034553,4.337960,0.476869,3.889198,4.035693,3.950732,3.738329
0.929907,0.133556,1.221635,0.242809,0.000212,0.000207,0.000196
0.099992,4.315340,0.701213,5.367113,2.209244,2.162753,2.046525
0.292989,2.301521,0.604338,1.233608,0.020870,0.020430,0.019332
0.281365,1.612494,0.643307,5.623829,4.304693,4.214494,3.988995
0.427173,1.268834,1.103172,5.587176,0.759204,0.746711,0.715480
0.347475,5.326503,0.513283,4.974114,0.015813,0.015480,0.014648
0.274233,4.165215,0.841031,4.676828,0.069978,0.068505,0.064823
0.704336,3.334494,0.695364,4.180099,0.000332,0.000325,0.000308
0.608756,1.539583,0.761186,0.568261,1.005944,0.984771,0.931838
0.271309,1.476120,0.711076,5.304351,4.074342,3.989554,3.777582
0.166753,1.934651,0.937486,4.651094,2.352046,2.304879,2.186962
0.551011,4.409655,0.535271,2.661735,0.076771,0.075160,0.071133
0.540671,2.427982,0.590029,2.502728,0.001327,0.001299,0.001229
0.245141,4.559076,0.677544,2.388183,2.499044,2.446649,2.315663
0.017954,1.293654,1.002382,3.217122,12.973829,12.707075,12.040192
0.776269,0.403768,0.160904,1.538874,0.001209,0.001184,0.001120
0.712347,2.396127,1.030477,1.630333,0.001097,0.001074,0.001016
0.347645,5.295766,0.842251,6.194298,0.029011,0.028400,0.026874
0.866426,1.773263,1.132553,1.752329,0.052204,0.051105,0.048357
0.271021,1.817052,1.021276,3.950063,2.492010,2.444521,2.325798
0.592845,1.596367,0.388761,5.920429,1.739265,1.702765,1.611512
0.343304,3.337152,0.540400,3.623835,0.002270,0.002222,0.002103
0.551981,5.253200,1.389940,5.798031,0.021269,0.020826,0.019720
0.717226,2.262245,0.507878,1.487211,0.001704,0.001669,0.001579
0.149944,4.676001,0.878609,4.531446,5.205829,5.096358,4.822678
0.353393,4.659703,1.171203,3.802517,4.216899,4.129437,3.910782
0.397398,0.953851,0.805355,0.313666,0.012980,0.012707,0.012024
0.713067,2.179272,1.471186,1.493039,0.005619,0.005502,0.005210
1.113519,3.030286,1.154470,3.872372,0.000279,0.000273,0.000259
0.231885,4.774829,0.773312,2.883289,5.115942,5.008870,4.741189
0.284846,0.131058,1.264197,5.700660,0.016706,0.016367,0.015519
0.210299,1.432353,1.028026,2.238243,3.933300,3.851106,3.645624
0.207177,1.190845,0.579464,3.421869,0.568129,0.556181,0.526310
0.210094,1.343013,0.541592,3.573952,1.485798,1.454539,1.376389
0.429945,1.552503,0.525105,3.699809,2.753227,2.695494,2.551161
0.996437,4.849534,1.239394,5.211737,0.140431,0.137474,0.130083
0.159127,5.069430,1.039582,4.291723,1.807178,1.769554,1.675497
0.274222,2.843491,0.932693,3.032814,0.008930,0.008742,0.008272
0.848343,3.218650,1.062636,3.895937,0.000232,0.000227,0.000215
0.366289,4.597863,0.394527,4.482149,0.789662,0.773037,0.731476
0.134380,5.165000,0.491481,6.263489,0.788285,0.771690,0.730201
0.085576,5.062548,1.040949,4.406245,5.583662,5.468105,5.179212
0.873976,5.341681,0.676177,5.854918,0.001458,0.001427,0.001351
